"Pathosystem","BacGrowth"
"Pto_Col-0",6.31198160943056
"Pto_Col-0__mock",6.41315987708333
"Pto_Col-0_flg22",2.84217363733333
"Pto_cyp79b2 cyp79b3",NA
"Pto_dde2-2 ein2-1",6.32194644595
"Pto_dde2-2 ein2-1 pad4-1 sid2-2",6.98021895097222
"Pto_npr1-1",6.610820233675
"Pto_pad4-1",6.433519753175
"Pto_pad4-1 sid2-2",6.6656961391
"Pto_rpm1-3 rps2-101C",6.301207994
"Pto_sid2-1 pmr4-1",NA
"Pto_sid2-2",6.56735553475
"Pto_stp1 stp13",NA
"Pto-AvrRps4_Col-0",NA
"Pto-AvrRpt2_Col-0",4.21749912856944
"Pto-AvrRpt2_cyp79b2 cyp79b3",NA
"Pto-AvrRpt2_dde2-2 ein2-1",4.51167457055
"Pto-AvrRpt2_dde2-2 ein2-1 pad4-1 sid2-2",6.49609286126389
"Pto-AvrRpt2_npr1-1",5.084073455675
"Pto-AvrRpt2_pad4-1",4.651806142075
"Pto-AvrRpt2_pad4-1 sid2-2",5.98678949775
"Pto-AvrRpt2_rpm1-3 rps2-101C",6.35203978620833
"Pto-AvrRpt2_sid2-1 pmr4-1",NA
"Pto-AvrRpt2_sid2-2",4.877584640525
"Pto-AvrRpt2_stp1 stp13",NA
"Pto-D36E_Col-0",NA
